filename,width,height,class,xmin,ymin,xmax,ymax
455_none.jpg,1280,720,15,825,282,1175,550
389_none.jpg,1280,720,9,825,296,1058,550
211_none.jpg,1280,720,8,899,203,1117,583
185_none.jpg,1280,720,6,560,152,777,292
185_none.jpg,1280,720,13,918,147,1154,319
185_none.jpg,1280,720,12,56,392,387,528
29_none.jpg,1280,720,6,958,459,1250,583
29_none.jpg,1280,720,13,1,160,130,295
29_none.jpg,1280,720,13,780,357,939,588
438_none.jpg,1280,720,2,1120,346,1280,521
438_none.jpg,1280,720,19,408,550,539,667
438_none.jpg,1280,720,9,438,210,670,523
243_none.jpg,1280,720,10,148,323,322,610
243_none.jpg,1280,720,17,105,62,273,249
243_none.jpg,1280,720,14,773,111,1032,330
174_none.jpg,1280,720,17,606,255,784,453
174_none.jpg,1280,720,9,269,178,497,463
174_none.jpg,1280,720,11,922,466,1113,720
422_none.jpg,1280,720,16,1155,453,1280,615
422_none.jpg,1280,720,17,386,213,539,393
43_none.jpg,1280,720,16,338,161,521,315
163_none.jpg,1280,720,15,703,169,990,493
163_none.jpg,1280,720,11,222,325,616,553
163_none.jpg,1280,720,9,1055,4,1278,264
311_none.jpg,1280,720,12,818,108,1049,360
311_none.jpg,1280,720,3,783,397,936,589
311_none.jpg,1280,720,13,624,478,801,692
319_none.jpg,1280,720,10,166,364,558,720
319_none.jpg,1280,720,8,904,528,1086,617
459_none.jpg,1280,720,12,465,20,764,131
366_none.jpg,1280,720,2,887,108,1059,435
366_none.jpg,1280,720,10,1075,514,1280,686
366_none.jpg,1280,720,13,36,220,202,452
56_none.jpg,1280,720,10,880,496,1210,720
53_none.jpg,1280,720,16,709,531,967,693
177_none.jpg,1280,720,10,40,81,317,273
142_none.jpg,1280,720,19,835,636,942,719
142_none.jpg,1280,720,4,348,409,657,497
142_none.jpg,1280,720,6,850,1,999,362
36_none.jpg,1280,720,5,854,42,1093,432
194_none.jpg,1280,720,17,1,463,90,649
25_none.jpg,1280,720,5,1149,40,1280,545
25_none.jpg,1280,720,15,537,401,771,680
195_none.jpg,1280,720,16,458,11,574,296
195_none.jpg,1280,720,18,833,35,1059,275
195_none.jpg,1280,720,12,1,473,301,686
143_none.jpg,1280,720,4,226,102,399,358
143_none.jpg,1280,720,1,946,89,1081,226
143_none.jpg,1280,720,0,556,57,921,225
132_none.jpg,1280,720,13,24,364,197,633
304_none.jpg,1280,720,4,856,423,1134,578
62_none.jpg,1280,720,3,755,440,1017,643
119_none.jpg,1280,720,14,933,20,1215,260
119_none.jpg,1280,720,8,1,232,198,427
317_none.jpg,1280,720,8,820,1,1133,239
352_none.jpg,1280,720,4,72,378,236,696
352_none.jpg,1280,720,6,55,31,187,322
352_none.jpg,1280,720,17,487,486,731,668
11_none.jpg,1280,720,11,832,146,1057,484
11_none.jpg,1280,720,18,1,262,344,392
11_none.jpg,1280,720,18,696,392,887,652
286_none.jpg,1280,720,13,646,523,812,720
117_none.jpg,1280,720,8,1080,185,1264,477
136_none.jpg,1280,720,10,824,121,965,335
44_none.jpg,1280,720,4,747,471,852,720
462_none.jpg,1280,720,14,975,1,1280,189
462_none.jpg,1280,720,19,56,289,174,415
147_none.jpg,1280,720,17,189,289,329,446
147_none.jpg,1280,720,0,409,1,758,410
147_none.jpg,1280,720,3,162,87,424,263
10_none.jpg,1280,720,7,553,198,871,546
10_none.jpg,1280,720,7,1,1,172,229
10_none.jpg,1280,720,0,825,13,1022,315
336_none.jpg,1280,720,0,8,160,332,641
336_none.jpg,1280,720,16,1089,130,1260,348
181_none.jpg,1280,720,18,135,389,351,701
402_none.jpg,1280,720,3,806,135,1071,360
196_none.jpg,1280,720,14,28,41,207,353
196_none.jpg,1280,720,3,274,182,380,364
196_none.jpg,1280,720,9,468,74,789,514
203_none.jpg,1280,720,13,885,289,1127,468
333_none.jpg,1280,720,12,1,1,181,227
333_none.jpg,1280,720,15,631,132,866,452
339_none.jpg,1280,720,9,943,350,1133,703
339_none.jpg,1280,720,17,1043,110,1224,263
339_none.jpg,1280,720,18,438,1,679,201
232_none.jpg,1280,720,4,960,252,1230,348
232_none.jpg,1280,720,1,697,14,836,157
232_none.jpg,1280,720,7,604,438,818,602
278_none.jpg,1280,720,5,980,56,1176,477
278_none.jpg,1280,720,6,341,471,495,720
278_none.jpg,1280,720,2,324,203,622,324
126_none.jpg,1280,720,2,441,1,650,136
24_none.jpg,1280,720,19,995,209,1113,318
24_none.jpg,1280,720,3,781,336,1060,513
20_none.jpg,1280,720,7,256,389,517,720
20_none.jpg,1280,720,9,832,126,1172,720
144_none.jpg,1280,720,7,1,492,362,720
144_none.jpg,1280,720,10,905,72,1153,324
144_none.jpg,1280,720,6,473,181,761,598
248_none.jpg,1280,720,2,499,320,805,498
248_none.jpg,1280,720,0,116,61,484,484
248_none.jpg,1280,720,15,422,126,712,322
127_none.jpg,1280,720,10,933,11,1280,366
127_none.jpg,1280,720,4,303,444,538,670
222_none.jpg,1280,720,8,887,403,1186,578
46_none.jpg,1280,720,16,1056,412,1219,572
46_none.jpg,1280,720,16,358,349,592,454
46_none.jpg,1280,720,3,906,356,1055,564
27_none.jpg,1280,720,0,201,284,487,438
27_none.jpg,1280,720,0,1052,318,1275,720
346_none.jpg,1280,720,19,809,192,938,301
72_none.jpg,1280,720,11,366,291,645,571
72_none.jpg,1280,720,2,254,145,438,259
72_none.jpg,1280,720,10,931,401,1038,569
448_none.jpg,1280,720,12,470,406,679,708
448_none.jpg,1280,720,1,792,144,986,330
2_none.jpg,1280,720,16,991,1,1124,170
2_none.jpg,1280,720,14,235,515,514,694
2_none.jpg,1280,720,10,548,1,797,208
6_none.jpg,1280,720,17,984,213,1140,416
6_none.jpg,1280,720,4,300,302,383,660
360_none.jpg,1280,720,0,373,369,694,536
360_none.jpg,1280,720,17,65,259,301,386
360_none.jpg,1280,720,15,886,2,1150,325
80_none.jpg,1280,720,16,465,272,636,387
80_none.jpg,1280,720,19,829,577,1010,720
80_none.jpg,1280,720,15,434,462,640,684
101_none.jpg,1280,720,15,915,539,1125,720
128_none.jpg,1280,720,9,91,120,263,467
128_none.jpg,1280,720,5,859,268,1143,670
128_none.jpg,1280,720,7,509,352,801,567
300_none.jpg,1280,720,15,859,398,1057,647
300_none.jpg,1280,720,17,693,55,868,222
300_none.jpg,1280,720,2,143,51,489,210
160_none.jpg,1280,720,6,868,467,1113,702
318_none.jpg,1280,720,19,323,351,514,513
318_none.jpg,1280,720,7,697,126,938,370
318_none.jpg,1280,720,10,1038,123,1280,362
258_none.jpg,1280,720,3,912,51,1159,233
258_none.jpg,1280,720,10,663,321,937,601
258_none.jpg,1280,720,5,401,1,647,271
403_none.jpg,1280,720,8,742,41,925,160
403_none.jpg,1280,720,6,42,191,423,535
322_none.jpg,1280,720,18,356,237,581,463
322_none.jpg,1280,720,10,110,281,239,467
34_none.jpg,1280,720,3,629,321,826,654
34_none.jpg,1280,720,14,63,282,325,512
251_none.jpg,1280,720,17,883,452,1115,628
251_none.jpg,1280,720,8,549,500,701,720
251_none.jpg,1280,720,5,601,81,786,432
145_none.jpg,1280,720,9,913,1,1050,256
145_none.jpg,1280,720,5,1,468,166,680
440_none.jpg,1280,720,18,172,343,514,617
440_none.jpg,1280,720,19,9,383,205,507
440_none.jpg,1280,720,11,173,86,410,326
261_none.jpg,1280,720,9,34,78,479,566
261_none.jpg,1280,720,15,500,301,853,657
261_none.jpg,1280,720,5,1099,283,1280,644
41_none.jpg,1280,720,3,738,546,947,690
41_none.jpg,1280,720,4,695,43,892,168
41_none.jpg,1280,720,9,435,321,762,539
363_none.jpg,1280,720,19,965,511,1109,643
170_none.jpg,1280,720,19,80,373,262,515
151_none.jpg,1280,720,3,700,353,981,592
365_none.jpg,1280,720,14,397,101,717,385
365_none.jpg,1280,720,15,930,45,1195,390
365_none.jpg,1280,720,2,740,276,857,596
430_none.jpg,1280,720,0,300,423,573,624
430_none.jpg,1280,720,5,724,107,990,409
430_none.jpg,1280,720,3,849,489,988,717
307_none.jpg,1280,720,9,30,26,231,365
42_none.jpg,1280,720,0,646,145,831,478
42_none.jpg,1280,720,13,280,1,453,199
42_none.jpg,1280,720,4,593,54,669,244
453_none.jpg,1280,720,4,1,293,175,370
453_none.jpg,1280,720,19,151,1,332,133
130_none.jpg,1280,720,16,864,535,1055,655
130_none.jpg,1280,720,19,969,89,1130,225
372_none.jpg,1280,720,5,299,19,675,276
372_none.jpg,1280,720,9,865,248,1126,604
372_none.jpg,1280,720,19,787,444,893,534
345_none.jpg,1280,720,3,586,420,749,588
345_none.jpg,1280,720,5,151,538,392,720
345_none.jpg,1280,720,4,757,1,811,181
68_none.jpg,1280,720,11,1053,77,1280,600
68_none.jpg,1280,720,19,908,155,1107,375
16_none.jpg,1280,720,18,654,283,884,720
16_none.jpg,1280,720,10,271,306,420,510
116_none.jpg,1280,720,2,57,26,303,297
116_none.jpg,1280,720,5,1,317,215,497
1_none.jpg,1280,720,0,408,400,645,653
200_none.jpg,1280,720,18,336,388,639,713
200_none.jpg,1280,720,2,1,518,170,659
200_none.jpg,1280,720,19,1,1,122,137
76_none.jpg,1280,720,0,965,50,1165,488
76_none.jpg,1280,720,14,635,200,917,379
84_none.jpg,1280,720,0,280,403,635,720
84_none.jpg,1280,720,15,861,361,1279,582
84_none.jpg,1280,720,4,520,1,713,255
416_none.jpg,1280,720,5,1,360,200,637
416_none.jpg,1280,720,2,963,111,1189,423
416_none.jpg,1280,720,7,91,18,347,183
254_none.jpg,1280,720,4,658,55,803,245
254_none.jpg,1280,720,15,368,382,651,523
133_none.jpg,1280,720,14,140,274,434,550
45_none.jpg,1280,720,1,824,58,1111,317
150_none.jpg,1280,720,5,398,188,605,597
150_none.jpg,1280,720,2,250,100,433,269
247_none.jpg,1280,720,9,463,183,848,372
247_none.jpg,1280,720,11,821,288,1122,550
94_none.jpg,1280,720,18,1,46,337,323
94_none.jpg,1280,720,14,268,269,503,537
379_none.jpg,1280,720,4,508,162,650,332
379_none.jpg,1280,720,4,1179,505,1280,707
379_none.jpg,1280,720,2,936,105,1151,354
171_none.jpg,1280,720,5,158,48,468,354
390_none.jpg,1280,720,17,369,69,591,352
390_none.jpg,1280,720,11,574,333,907,510
390_none.jpg,1280,720,14,559,1,818,236
340_none.jpg,1280,720,13,124,275,334,451
340_none.jpg,1280,720,3,486,457,686,671
371_none.jpg,1280,720,4,748,139,887,354
426_none.jpg,1280,720,8,172,29,417,172
